text_ts	s_r	num_chars	num_words	min_since_prev
2013-02-11 20:28:00	SNT	49	9	1
2013-02-11 20:31:00	RCV	152	22	3
2013-02-11 20:31:00	RCV	8	2	0
2013-02-11 20:32:00	SNT	58	10	1
2013-02-11 21:09:00	SNT	38	1	37
2013-02-11 21:16:00	SNT	21	5	7
2013-02-11 21:18:00	RCV	39	7	2
2013-02-11 21:18:00	RCV	21	5	0
2013-02-11 21:20:00	SNT	74	15	2
2013-02-11 21:20:00	RCV	40	6	0
2013-02-11 21:21:00	SNT	149	25	1
2013-02-11 21:24:00	SNT	66	12	3
2013-02-11 21:28:00	RCV	43	8	4
2013-02-11 21:29:00	RCV	3	1	1
2013-02-11 21:29:00	SNT	31	5	0
2013-02-11 21:31:00	RCV	31	6	2
2013-02-11 21:32:00	SNT	37	7	1
2013-02-11 21:32:00	SNT	12	3	0
2013-02-11 21:33:00	RCV	17	4	1
2013-02-11 21:33:00	SNT	92	18	0
2013-02-11 21:33:00	RCV	73	12	0
2013-02-11 21:35:00	RCV	144	25	2
2013-02-11 21:36:00	SNT	68	13	1
2013-02-11 21:37:00	RCV	20	5	1
2013-02-11 21:42:00	RCV	45	9	5
2013-02-11 21:42:00	SNT	107	18	0
2013-02-11 21:42:00	SNT	46	11	0
2013-02-11 21:43:00	SNT	5	1	1
2013-02-11 21:48:00	SNT	171	33	5
2013-02-11 21:48:00	SNT	34	6	0
2013-02-11 21:48:00	RCV	8	1	0
2013-02-11 21:50:00	RCV	1	1	2
2013-02-11 21:51:00	SNT	24	5	1
2013-02-11 21:52:00	RCV	30	6	1
2013-02-11 21:52:00	SNT	95	19	0
2013-02-11 21:52:00	RCV	31	6	0
2013-02-11 21:52:00	RCV	27	4	0
2013-02-11 21:52:00	RCV	23	5	0
2013-02-11 21:53:00	RCV	8	2	1
2013-02-11 21:53:00	SNT	44	9	0
2013-02-11 21:54:00	SNT	26	6	1
2013-02-11 21:54:00	RCV	40	8	0
2013-02-11 21:54:00	SNT	42	8	0
2013-02-11 21:54:00	RCV	45	11	0
2013-02-11 21:54:00	RCV	24	6	0
2013-02-11 21:55:00	RCV	8	1	1
2013-02-11 21:58:00	SNT	44	8	3
2013-02-11 21:59:00	RCV	4	1	1
2013-02-11 22:03:00	SNT	1	1	4
2013-02-11 22:05:00	RCV	51	10	2
2013-02-11 22:05:00	RCV	37	7	0
2013-02-11 22:06:00	SNT	57	13	1
2013-02-11 22:07:00	RCV	36	5	1
2013-02-11 22:09:00	SNT	72	14	2
2013-02-11 22:09:00	RCV	20	4	0
2013-02-11 22:11:00	SNT	87	18	2
2013-02-11 22:11:00	SNT	38	1	0
2013-02-11 22:14:00	RCV	12	2	3
2013-02-11 22:17:00	RCV	96	18	3
2013-02-11 22:18:00	RCV	24	5	1
2013-02-11 22:18:00	RCV	8	2	0
2013-02-11 22:18:00	SNT	80	16	0
2013-02-11 22:19:00	SNT	71	15	1
2013-02-11 22:19:00	RCV	18	3	0
2013-02-11 22:19:00	SNT	31	4	0
2013-02-11 22:20:00	SNT	39	6	1
2013-02-11 22:20:00	RCV	22	5	0
2013-02-11 22:22:00	RCV	71	13	2
2013-02-11 22:22:00	RCV	30	6	0
2013-02-11 22:22:00	SNT	57	12	0
2013-02-11 22:23:00	RCV	27	5	1
2013-02-11 22:24:00	SNT	72	7	1
2013-02-11 22:24:00	RCV	18	5	0
2013-02-11 22:25:00	RCV	76	20	1
2013-02-11 22:25:00	RCV	36	6	0
2013-02-11 22:26:00	RCV	12	3	1
2013-02-11 22:27:00	SNT	77	13	1
2013-02-11 22:27:00	SNT	12	2	0
2013-02-11 22:27:00	RCV	22	3	0
2013-02-11 22:28:00	SNT	60	11	1
